item_name,description,category,price,colour,shop_name
Sepatu High Heels Glamor,Sepatu High Heels Glamor memberikan ketinggian dan gaya yang anggun pada penampilan Anda. Didesain dengan detail yang memikat.,Sepatu,50000,Emas,Gourmet Delights
Jaket Kulit Stylish,Jaket Kulit Stylish memberikan gaya yang cool dan trendi. Terbuat dari kulit berkualitas tinggi dengan desain yang modern.,Jaket,120000,Cokelat,Music Gallery
Kemeja Batik Klasik,Kemeja Batik Klasik memberikan tampilan yang khas dan berkelas. Cocok untuk acara formal atau non-formal.,Kemeja,200000,Biru,Gift Emporium
Celana Pendek Denim,Celana Pendek Denim memberikan gaya yang santai dan nyaman untuk cuaca hangat. Terbuat dari bahan denim berkualitas tinggi.,Celana,180000,Biru,Food Paradise
Kaos Sablon Casual,Kaos Sablon Casual memberikan gaya yang santai dan trendy untuk penampilan sehari-hari. Didesain dengan motif yang menarik.,Kaos,250000,Putih,Book Haven
Tas Laptop Stylish,Tas Laptop Stylish memberikan perlindungan dan gaya yang maksimal untuk laptop Anda. Terbuat dari bahan berkualitas dan dilengkapi dengan kompartemen yang aman.,Tas Laptop,80000,Hitam,Tech Zone
Blazer Wanita Modern,Blazer Wanita Modern memberikan tampilan yang profesional dan stylish. Cocok untuk acara formal atau non-formal.,Blazer,150000,Merah,Beauty Boutique
Gelang Berlian Mewah,Gelang Berlian Mewah memberikan kemewahan dan kilau yang mempesona. Terbuat dari berlian asli dengan desain yang indah.,Gelang,70000,Merah,Shoe Emporium
Parfum Pria Maskulin,Parfum Pria Maskulin memberikan aroma yang maskulin dan elegan. Diciptakan dengan komposisi yang khas untuk pria modern.,Parfum,90000,Perak,Gadget Hub
Tas Pesta Glamor,Tas Pesta Glamor memberikan gaya yang mewah dan glamor pada setiap acara pesta. Didesain dengan detail yang memukau.,Tas Pesta,60000,Hitam,Home Decor
Kalung Choker Trendy,Kalung Choker Trendy memberikan sentuhan gaya yang edgy dan modern pada leher Anda. Cocok untuk melengkapi penampilan fashion-forward.,Kalung,100000,Emas,Tech Zone
Pashmina Rajut Stylish,Pashmina Rajut Stylish memberikan gaya yang modis dan cozy pada penampilan hijab Anda. Terbuat dari bahan rajut berkualitas.,Pashmina,40000,Hitam,Wellness Center
Topi Keren Stylish,Topi Keren Stylish memberikan sentuhan gaya yang cool dan trendy pada penampilan Anda. Didesain dengan detail yang menarik.,Topi,70000,Ungu,Gourmet Delights
Dompet Wanita Stylish,Dompet Wanita Stylish memberikan gaya dan fungsi yang tak tertandingi. Terbuat dari bahan berkualitas tinggi.,Dompet,50000,Biru,Pet Shop
Anting Stud Elegant,Anting Stud Elegant memberikan sentuhan elegan dan klasik pada penampilan Anda. Didesain dengan desain yang timeless.,Anting,80000,Merah,Home Essentials
Lipstik Glossy Vibrant,Lipstik Glossy Vibrant memberikan hasil akhir glossy yang memikat. Dapat memberikan sentuhan warna yang hidup dan berkilau.,Lipstik,100000,Perak,Beauty Boutique
Sepatu Boots Trendy,Sepatu Boots Trendy memberikan gaya yang trendi dan proteksi yang maksimal. Didesain dengan detail yang stylish dan tahan lama.,Sepatu,300000,Merah,Music Gallery
Sweater Rajut Hangat,Sweater Rajut Hangat memberikan kenyamanan dan gaya yang cozy. Terbuat dari bahan rajut yang hangat dan lembut.,Sweater,120000,Cokelat,Pet Shop
Celana Jogger Casual,Celana Jogger Casual memberikan gaya yang santai dan nyaman untuk aktivitas sehari-hari. Terbuat dari bahan yang stretch dan mudah dipadukan.,Celana,60000,Abu-abu,Health Corner
Kemeja Putih Formal,Kemeja Putih Formal memberikan tampilan yang klasik dan formal. Cocok untuk berbagai kesempatan yang membutuhkan penampilan yang rapi.,Kemeja,150000,Hitam,Game Central
Tas Selempang Kulit,Tas Selempang Kulit memberikan gaya yang stylish dan fungsional. Terbuat dari kulit berkualitas dengan desain yang modern.,Tas,250000,Putih,Kids Kingdom
Perhiasan Perak Elegan,Perhiasan Perak Elegan memberikan sentuhan elegan dan berkelas pada penampilan Anda. Terbuat dari perak dengan desain yang indah.,Perhiasan,200000,Cokelat,Book Haven
Sepatu Sporty,Sepatu Sporty memberikan kenyamanan dan gaya yang tak terbantahkan saat berolahraga. Terbuat dari bahan yang ringan dan nyaman dipakai.,Sepatu,50000,Perak,Gadget Hub
Rok Mini Trendy,Rok Mini Trendy memberikan tampilan yang trendy dan playful. Cocok untuk penampilan yang ceria dan fashion-forward.,Rok,80000,Hitam,Fitness Zone
Baju Kaos Grafis,Baju Kaos Grafis memberikan gaya yang unik dan ekspresif pada penampilan Anda. Didesain dengan motif grafis yang menarik.,Baju Kaos,100000,Merah,Jewelry Emporium
Topi Snapback,Topi Snapback memberikan sentuhan gaya yang sporty dan casual pada penampilan Anda. Cocok untuk gaya streetwear atau olahraga.,Topi,60000,Abu-abu,Beauty Boutique
Dompet Lipat Stylish,Dompet Lipat Stylish memberikan kemudahan dan gaya yang minimalis. Terbuat dari bahan berkualitas tinggi.,Dompet,40000,Hitam,Music Gallery
Anting Gantung Unik,Anting Gantung Unik memberikan sentuhan gaya yang unik dan artistik pada penampilan Anda. Didesain dengan desain yang kreatif.,Anting,70000,Hijau,Beauty Boutique
Lipstik Satin Matte,Lipstik Satin Matte memberikan hasil akhir satin matte yang elegan. Dapat memberikan sentuhan warna yang lembut dan tahan lama.,Lipstik,90000,Hitam,Home Decor
Sepatu Loafer Casual,Sepatu Loafer Casual memberikan gaya yang santai dan nyaman pada penampilan Anda. Didesain dengan detail yang stylish.,Sepatu,120000,Merah,Health Corner
Celana Chino Slim Fit,Celana Chino Slim Fit memberikan tampilan yang modern dan nyaman. Terbuat dari bahan yang stretch dan mudah dipadukan.,Celana,80000,Multikolor,Vintage Treasures
Jas Blazer Slim Fit,Jas Blazer Slim Fit memberikan tampilan yang elegan dan berkelas pada setiap acara formal. Didesain dengan detail yang sempurna.,Jas Blazer,150000,Merah,Game Central
Tas Tote Bag Stylish,Tas Tote Bag Stylish memberikan gaya yang chic dan fungsional. Terbuat dari bahan berkualitas tinggi dan dilengkapi dengan tali yang kuat.,Tas,100000,Hitam,Artisan Crafts
Gelang Manik-Manik,Gelang Manik-Manik memberikan sentuhan gaya yang boho dan berwarna pada pergelangan tangan Anda. Didesain dengan detail yang menarik.,Gelang,250000,Putih,Gift Emporium
Parfum Floral Fruity,Parfum Floral Fruity memberikan aroma yang segar dan manis. Diciptakan dengan komposisi bunga dan buah yang lezat.,Parfum,180000,Abu-abu,Fashion Outlet
Sepatu Sandal Santai,Sepatu Sandal Santai memberikan kenyamanan dan gaya yang tak terbantahkan untuk kegiatan santai. Terbuat dari bahan yang nyaman dan ringan.,Sepatu Sandal,70000,Hitam,Fitness Zone
Blouse Wanita Elegan,Blouse Wanita Elegan memberikan tampilan yang feminin dan elegan. Cocok untuk acara formal atau non-formal.,Blouse,50000,Merah,Toy Universe
Sweater Hoodie Sporty,Sweater Hoodie Sporty memberikan kenyamanan dan gaya yang sporty. Terbuat dari bahan yang hangat dan dilengkapi dengan hoodie.,Sweater,150000,Merah,Wellness Center
Celana Legging Nyaman,Celana Legging Nyaman memberikan kenyamanan dan fleksibilitas saat digunakan. Terbuat dari bahan yang stretch dan nyaman di kulit.,Celana,200000,Cokelat,Book Haven
Kemeja Kotak-Kotak,Kemeja Kotak-Kotak memberikan tampilan yang klasik dan stylish. Cocok untuk penampilan yang rapi namun tetap casual.,Kemeja,90000,Merah,Game Central
Tas Sling Bag Trendy,Tas Sling Bag Trendy memberikan gaya yang trendi dan praktis. Terbuat dari bahan berkualitas tinggi dengan desain yang modern.,Tas,40000,Hitam,Pet Shop
Gelang Kulit Asli,Gelang Kulit Asli memberikan sentuhan gaya yang klasik dan alami pada pergelangan tangan Anda. Terbuat dari kulit asli yang tahan lama.,Gelang,80000,Merah,Food Paradise
Lipstik Velvet Matte,Lipstik Velvet Matte memberikan hasil akhir matte yang lembut dan velvety. Dapat memberikan sentuhan warna yang intens dan mewah.,Lipstik,70000,Abu-abu,Game Central
Sepatu Running Ringan,Sepatu Running Ringan memberikan kenyamanan dan performa yang optimal saat berlari. Terbuat dari bahan yang ringan dan responsif.,Sepatu,120000,Hitam,Toy Universe
Baju Kebaya Elegan,Baju Kebaya Elegan memberikan tampilan yang anggun dan tradisional. Cocok untuk acara formal atau tradisional.,Baju Kebaya,60000,Emas,Fitness Zone
Topi Beanie Hangat,Topi Beanie Hangat memberikan kenyamanan dan gaya yang hangat pada cuaca dingin. Didesain dengan detail yang stylish.,Topi,150000,Hijau,Vintage Treasures
Dompet Zipper Minimalis,Dompet Zipper Minimalis memberikan kemudahan dan gaya yang minimalis. Terbuat dari bahan berkualitas tinggi dengan resleting yang kuat.,Dompet,80000,Hijau,Gadget Hub
Kalung Liontin Cantik,Kalung Liontin Cantik memberikan sentuhan feminin dan elegan pada penampilan Anda. Didesain dengan desain yang manis dan berkilau.,Kalung,100000,Emas,Artisan Crafts
Celana Cargo Praktis,Celana Cargo Praktis memberikan gaya yang praktis dan fungsional untuk kegiatan sehari-hari. Terbuat dari bahan yang tahan lama.,Celana,250000,Cokelat,Vintage Treasures
Kaos Polo Pria,Kaos Polo Pria memberikan tampilan yang kasual namun tetap rapi dan stylish. Terbuat dari bahan berkualitas dan nyaman dipakai.,Kaos Polo,200000,Cokelat,Health Corner
Tas Clutch Glamor,Tas Clutch Glamor memberikan gaya yang mewah dan glamor pada setiap acara formal. Didesain dengan detail yang memukau.,Tas Clutch,70000,Hitam,Toy Universe
Gelang Tangan Vintage,Gelang Tangan Vintage memberikan sentuhan retro dan klasik pada pergelangan tangan Anda. Didesain dengan detail yang indah.,Gelang,150000,Hitam,Book Haven
Parfum Woody Aromatic,Parfum Woody Aromatic memberikan aroma yang hangat dan maskulin. Diciptakan dengan komposisi kayu dan aroma aromatik yang khas.,Parfum,60000,Hitam,Artisan Crafts
Sepatu Loafer Formal,Sepatu Loafer Formal memberikan tampilan yang anggun dan berkelas pada setiap acara formal. Didesain dengan detail yang sempurna.,Sepatu,120000,Cokelat,Artisan Crafts
Rok Midi Trendy,Rok Midi Trendy memberikan tampilan yang modern dan stylish. Cocok untuk berbagai kesempatan formal atau non-formal.,Rok,100000,Merah,Fashion Outlet
Kacamata Oversize Stylish,Kacamata Oversize Stylish memberikan gaya yang bold dan fashion-forward pada penampilan Anda. Didesain dengan desain yang statement.,Kacamata,80000,Biru,Jewelry Emporium
Tas Backpack Casual,Tas Backpack Casual memberikan gaya yang casual dan fungsional. Terbuat dari bahan yang tahan lama dan dilengkapi dengan banyak kantong.,Tas,50000,Putih,Kids Kingdom
Blouse Peplum Feminin,Blouse Peplum Feminin memberikan tampilan yang feminin dan berkelas. Cocok untuk acara formal atau non-formal.,Blouse,70000,Hitam,Gift Emporium
Celana Jogger Denim,Celana Jogger Denim memberikan gaya yang trendi dan nyaman untuk aktivitas sehari-hari. Terbuat dari bahan denim yang stretch dan ringan.,Celana,200000,Abu-abu,Jewelry Emporium
Kemeja Putih Polos,Kemeja Putih Polos memberikan tampilan yang klasik dan universal. Cocok untuk berbagai kesempatan dan mudah dipadukan dengan berbagai pakaian.,Kemeja,150000,Hitam,Fashion House
Sepatu Sneakers Trendy,Sepatu Sneakers Trendy memberikan gaya yang trendi dan nyaman untuk penampilan sehari-hari. Terbuat dari bahan yang tahan lama dan dilengkapi dengan sol yang nyaman.,Sepatu,90000,Perak,Shoe Emporium
Topi Bucket Stylish,Topi Bucket Stylish memberikan sentuhan gaya yang casual dan stylish pada penampilan Anda. Didesain dengan desain yang versatile.,Topi,40000,Emas,Shoe Emporium
Dompet Lipat Sederhana,Dompet Lipat Sederhana memberikan kemudahan dan gaya yang sederhana. Terbuat dari bahan berkualitas tinggi dengan desain yang minimalis.,Dompet,80000,Hitam,Fitness Zone
Anting Hiasan Unik,Anting Hiasan Unik memberikan sentuhan gaya yang unik dan kreatif pada penampilan Anda. Didesain dengan desain yang out-of-the-box.,Anting,150000,Cokelat,Tech Zone
Lipstik Metallic Glamor,Lipstik Metallic Glamor memberikan hasil akhir metallic yang memikat. Dapat memberikan sentuhan warna yang berkilau dan glamor.,Lipstik,100000,Merah,Home Decor
Sepatu Slip-On Nyaman,Sepatu Slip-On Nyaman memberikan kenyamanan dan kemudahan saat dipakai. Terbuat dari bahan yang lembut dan elastis.,Sepatu,250000,Multikolor,Home Decor
Baju Cardigan Hangat,Baju Cardigan Hangat memberikan kenyamanan dan gaya yang hangat pada cuaca yang sejuk. Terbuat dari bahan yang lembut dan hangat.,Baju Cardigan,180000,Hitam,Fashion House
Tas Crossbody Chic,Tas Crossbody Chic memberikan gaya yang chic dan praktis. Terbuat dari bahan berkualitas tinggi dan dilengkapi dengan tali yang dapat disesuaikan.,Tas,70000,Putih,Sports World
Gelang Manik-Manik Etnik,Gelang Manik-Manik Etnik memberikan sentuhan gaya yang etnik dan colorful pada pergelangan tangan Anda. Didesain dengan detail yang artistik.,Gelang,50000,Hitam,Sports World
Parfum Musk Sensual,Parfum Musk Sensual memberikan aroma yang sensual dan memikat. Diciptakan dengan komposisi musk yang khas dan menarik.,Parfum,150000,Cokelat,Wellness Center
Sweater Rajut Elegan,Sweater Rajut Elegan memberikan kenyamanan dan gaya yang elegan. Terbuat dari bahan rajut yang lembut dan dilengkapi dengan detail yang indah.,Sweater,200000,Merah,Vintage Treasures
Celana Kulot Modis,Celana Kulot Modis memberikan tampilan yang modis dan nyaman. Cocok untuk gaya kasual atau acara santai dengan sentuhan yang chic dan trendy,Celana,90000,Hitam,Wellness Center
